track_name,artist_name,album_name,release_date,genre,price
The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025-10-03T12:00:00Z,Pop,
Shake It Off,Taylor Swift,1989,2014-08-19T07:00:00Z,Pop,1.29
Cruel Summer,Taylor Swift,Lover,2019-08-23T07:00:00Z,Pop,1.29
You Belong With Me,Taylor Swift,Fearless (Platinum Edition),2008-11-11T12:00:00Z,Country,1.29
Love Story,Taylor Swift,Fearless (Platinum Edition),2008-09-12T12:00:00Z,Country,1.29
Blank Space,Taylor Swift,1989,2014-10-27T07:00:00Z,Pop,1.29
Opalite,Taylor Swift,The Life of a Showgirl,2025-10-03T12:00:00Z,Pop,
Bad Blood,Taylor Swift,1989,2014-10-27T07:00:00Z,Pop,1.29
Style,Taylor Swift,1989,2014-10-27T07:00:00Z,Pop,1.29
Our Song,Taylor Swift,Taylor Swift (Bonus Track Version),2006-10-24T12:00:00Z,Country,1.29
Wildest Dreams,Taylor Swift,1989,2014-10-27T07:00:00Z,Pop,1.29
We Are Never Ever Getting Back Together,Taylor Swift,Red,2012-08-13T12:00:00Z,Country,1.29
I Knew You Were Trouble,Taylor Swift,Red,2012-10-09T12:00:00Z,Country,1.29
You Need To Calm Down,Taylor Swift,Lover,2019-06-14T07:00:00Z,Pop,1.29
Lover,Taylor Swift,Lover,2019-08-16T07:00:00Z,Pop,1.29
22,Taylor Swift,Red,2012-10-22T12:00:00Z,Country,1.29
You Belong With Me,Taylor Swift,Fearless,2008-11-11T08:00:00Z,Country,1.29
...Ready For It?,Taylor Swift,reputation,2017-09-03T07:00:00Z,Pop,1.29
Enchanted,Taylor Swift,Speak Now,2010-10-25T07:00:00Z,Country,1.29
Look What You Made Me Do,Taylor Swift,reputation,2017-08-24T12:00:00Z,Pop,1.29
