platform,observation_type,claim_or_observation,metric_direction,confidence_level,evidence_needed,next_action,confidence_score,actionable,data_collection_priority,platform_group,public_data_available,actual_method,metrics_available_or_needed,how_to_use_in_project
Spotify,monetization,"AI-generated releases with fewer than 1,000 streams generate no meaningful payout",low_revenue_under_threshold,high,Spotify policy + own distributor/artist statement export,Export Spotify track-level streams and royalties from distributor dashboard,3,True,4,music streaming,Limited public API; no public track stream counts through normal Web API,Spotify for Artists/DistroKid royalty export/manual dashboard,"streams,followers,popularity,revenue,country/listener market if available",Use to verify threshold problem and low-payout early-stage tracks
TikTok main app,engagement,"TikTok music discovery should be evaluated through likes, comments, shares, and views",high_engagement_metrics,high,TikTok Research API fields or manual top-video sampling,Collect 20-50 TikTok videos per query/market,3,True,4,short-form discovery,Yes with Research API access or manual collection,TikTok Research API or manual search,"views,likes,comments,shares,region_code,hashtags,music_id/video_description",Use as best public proxy for music virality and engagement
YouTube Music,market_region,YouTube Music revenue differs by country/region,region_revenue_variation,high,YouTube Analytics country dimension and estimated revenue,Export country-level revenue report,3,True,4,music streaming / YouTube ecosystem,Limited; available mainly for owned channels/assets,YouTube Studio/Analytics export or YouTube Analytics API,"views,estimated revenue,country,watch time,RPM/CPM if available",Use to test claim that YouTube pays better and varies by region
TikTok Music,monetization,TikTok Music may have produced some benefit historically but is no longer a future launch platform,historical_only,high,Shutdown confirmation + past royalty statement,"Keep as historical observation, not future pipeline",3,False,3,music streaming,No active public dataset for ongoing collection,Historical/manual distributor reports only,"plays,revenue,country,track",Treat as historical platform observation only
Overall,strategy,At this stage play volume and engagement are more important than immediate revenue,views_first,high,All platform observations + early-stage payout limits,Use views/engagement as primary KPI and revenue as secondary KPI,3,False,3,,,,,
YouTube Music,monetization,YouTube/YouTube Music appears to generate the highest payout among observed platforms,higher_revenue,medium,YouTube Analytics country revenue or distributor royalty CSV,Collect estimated revenue by country and platform if available,2,True,3,music streaming / YouTube ecosystem,Limited; available mainly for owned channels/assets,YouTube Studio/Analytics export or YouTube Analytics API,"views,estimated revenue,country,watch time,RPM/CPM if available",Use to test claim that YouTube pays better and varies by region
Facebook/Instagram,monetization,Facebook/Instagram may produce secondary benefits for AI music,potential_secondary_revenue,medium,Meta/distributor royalty report,Collect distributor line items for Facebook/Instagram,2,True,3,,,,,
Tencent Music,market_volume,Tencent Music may have decent play volume but low unit payout,high_volume_low_unit_revenue,medium,Tencent/distributor play and royalty data,"Collect plays, comments, revenue for China releases",2,True,3,China streaming,Limited public; creator dashboard/manual export needed,Tencent Musician/TME dashboard or distributor statement,"plays,comments,shares,followers,revenue,country/China market",Use to evaluate China volume vs low unit payout
NetEase Cloud Music,market_volume,NetEase may have decent play volume and useful comment metrics but low unit payout,high_volume_low_unit_revenue,medium,NetEase dashboard/distributor data and comments,"Collect plays, comments, revenue and test correlation",2,True,3,China streaming/community music,Limited public; creator dashboard/manual export needed,NetEase musician dashboard/manual search/distributor statement,"plays,comments,likes/favorites,revenue",Use to test comment-metric relationship and low unit payout
Luna,monetization,Luna appears niche but may produce relatively good return,potential_niche_opportunity,low,Need exact platform identity and statement export,Verify what Luna refers to in the royalty report,1,False,1,niche platform / distributor statement,Unclear public access,Distributor royalty report/manual statement,"plays,revenue,country,track",Use as niche-platform observation if statements show positive return
