platform,observation_type,claim_or_observation,metric_direction,confidence_level,evidence_needed,next_action
Spotify,monetization,"AI-generated releases with fewer than 1,000 streams generate no meaningful payout",low_revenue_under_threshold,high,"Spotify policy + own distributor/artist statement export","Export Spotify track-level streams and royalties from distributor dashboard"
YouTube Music,monetization,"YouTube/YouTube Music appears to generate the highest payout among observed platforms",higher_revenue,medium,"YouTube Analytics country revenue or distributor royalty CSV","Collect estimated revenue by country and platform if available"
TikTok main app,engagement,"TikTok music discovery should be evaluated through likes, comments, shares, and views",high_engagement_metrics,high,"TikTok Research API fields or manual top-video sampling","Collect 20-50 TikTok videos per query/market"
TikTok Music,monetization,"TikTok Music may have produced some benefit historically but is no longer a future launch platform",historical_only,high,"Shutdown confirmation + past royalty statement","Keep as historical observation, not future pipeline"
Facebook/Instagram,monetization,"Facebook/Instagram may produce secondary benefits for AI music",potential_secondary_revenue,medium,"Meta/distributor royalty report","Collect distributor line items for Facebook/Instagram"
Luna,monetization,"Luna appears niche but may produce relatively good return",potential_niche_opportunity,low,"Need exact platform identity and statement export","Verify what Luna refers to in the royalty report"
Tencent Music,market_volume,"Tencent Music may have decent play volume but low unit payout",high_volume_low_unit_revenue,medium,"Tencent/distributor play and royalty data","Collect plays, comments, revenue for China releases"
NetEase Cloud Music,market_volume,"NetEase may have decent play volume and useful comment metrics but low unit payout",high_volume_low_unit_revenue,medium,"NetEase dashboard/distributor data and comments","Collect plays, comments, revenue and test correlation"
YouTube Music,market_region,"YouTube Music revenue differs by country/region",region_revenue_variation,high,"YouTube Analytics country dimension and estimated revenue","Export country-level revenue report"
Overall,strategy,"At this stage play volume and engagement are more important than immediate revenue",views_first,high,"All platform observations + early-stage payout limits","Use views/engagement as primary KPI and revenue as secondary KPI"
