country_code,country_name,genre,content_type,lyric_style,language,query,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate
ES,Spain,pop,lyrical,local_language,es,Spanish pop song Spain,25,31745865978,241655742.0,160765945,7267700,0.00707639614283079,0.00021663484323131103
US,United States,pop,lyrical,english,en,English pop song,25,28436722900,617089497.0,170699668,9384579,0.005187045507966115,0.0002000759292100698
MX,Mexico,pop,lyrical,local_language,es,Mexican pop song,25,19289374269,102466036.0,100391234,5433815,0.006346028752436314,0.00012236451283104824
KR,South Korea,pop,lyrical,local_language,ko,Korean pop song,25,12200630320,190840744.0,133833359,22732515,0.010087652305332453,0.0009164104017503272
FR,France,pop,lyrical,local_language,fr,French pop song,25,7542836539,38299019.0,49668962,1448146,0.009848428815466959,0.00034437399427510987
IN,India,pop,lyrical,local_language,hi,Hindi pop song,25,7218745306,26100839.0,31434593,753800,0.005219109876392097,0.00014835765462640216
MX,Mexico,pop,lyrical,humorous,es,Spanish funny song,25,6858342392,22677685.0,34622771,1084087,0.016538510084499313,0.0004587080347461896
ES,Spain,pop,lyrical,humorous,es,Spanish funny song,25,6851765726,22677685.0,34063121,1082403,0.014065890081362453,0.0004619678626894923
GB,United Kingdom,pop,lyrical,english,en,UK pop song,25,4140490047,2765713.0,25225232,569593,0.009654264941820595,0.0006397458860550951
JP,Japan,pop,lyrical,local_language,ja,Japanese pop song,25,4065529464,26606926.0,26842948,1186533,0.01864874843044552,0.0005198313146561797
CA,Canada,pop,lyrical,english,en,English pop song Canada,25,3996591762,2020353.0,30504839,1205506,0.012847707315163643,0.0010746884745807277
ID,Indonesia,pop,lyrical,local_language,id,Indonesian pop song,25,2535273238,58302717.0,9830914,517471,0.005538819440722101,0.0004229321550543661
SE,Sweden,edm,instrumental,no_lyrics,sv,Swedish electronic music,25,2467999684,18250982.0,15835293,676563,0.012825071352547356,0.0006664671288564286
TH,Thailand,pop,lyrical,local_language,th,Thai pop song,25,2292493829,26449611.0,10970227,321196,0.006957562104214382,0.00017324645668824408
AU,Australia,pop,lyrical,english,en,Australian pop song,25,2197470640,6195559.0,11836632,471866,0.010143897568623463,0.0009052400546169533
VN,Vietnam,pop,lyrical,local_language,vi,Vietnamese pop song,25,2122987135,38566524.0,17548894,2087572,0.0073050304839985866,0.000536985403335467
IT,Italy,pop,lyrical,local_language,it,Italian pop song,25,1722723346,11609076.0,6756791,181518,0.007067876701659283,0.00019455718419382956
BR,Brazil,pop,lyrical,local_language,pt,Portuguese pop song,25,1658101909,68517.0,7393258,410775,0.013808468795156006,0.003473440186020679
SE,Sweden,pop,lyrical,local_language,sv,Swedish pop song,25,1566468426,8964260.0,10186554,468503,0.011065554380608845,0.0006853876731551848
IN,India,devotional,lyrical,local_language,hi,Hindi devotional song,25,1281137821,25030482.0,8122428,346569,0.006868006319190237,0.00033489361261767865
MY,Malaysia,pop,lyrical,local_language,ms,Malay pop song,25,1189294700,34096080.0,6242163,441927,0.006874243791697514,0.0008571572334232562
TW,Taiwan,pop,lyrical,local_language,zh,Taiwan mandarin pop song,25,1179868046,2090609.0,4204166,123423,0.008032811769421883,0.0002140082332158523
PH,Philippines,pop,lyrical,local_language,tl,Filipino pop song,25,1009382881,10351157.0,4633330,354155,0.00439181738215578,0.0002581845839518768
DE,Germany,pop,lyrical,local_language,de,German pop song,25,769227924,13499912.0,5130421,139791,0.010049947940576903,0.0003590503712549835
NL,Netherlands,pop,lyrical,local_language,nl,Dutch pop song,25,648382770,13715105.0,4033762,127741,0.00607357041015543,0.000281030755321275
US,United States,jazz,lyrical,vocal,en,jazz vocal song,25,622623206,1547143.0,7340604,113180,0.01410559574160015,0.00033650003191588415
NZ,New Zealand,pop,lyrical,english,en,New Zealand pop song,25,571494926,6202177.0,5859139,168061,0.007305443932515401,0.0003083701850826696
PH,Philippines,pop,lyrical,english,en,OPM pop song,25,485699473,3350210.0,1252487,42585,0.0038781049303954224,9.76046425171117e-05
SG,Singapore,pop,lyrical,english,en,Singapore pop song,25,391157587,4456021.0,5412798,134591,0.01629056768755101,0.0009393669904760388
HK,Hong Kong,pop,lyrical,local_language,zh,Cantonese pop song,25,381421031,2476141.0,1075627,63355,0.004696042419647845,0.00018694707771095185
US,United States,jazz,instrumental,no_lyrics,en,jazz instrumental music,25,355181363,3194095.0,2273986,54450,0.007955996630040063,0.00022910869125692995
JP,Japan,city pop,lyrical,local_language,ja,Japanese city pop,25,336859634,807120.0,4970918,83527,0.019542021598468955,0.000786661545623
US,United States,lofi,instrumental,no_lyrics,en,lofi instrumental music,25,330973417,4652992.0,3569000,107953,0.008022609830041277,0.0002649832705595748
IN,India,lofi,instrumental,no_lyrics,hi,Hindi lofi music,25,293038130,6524430.0,2390835,68911,0.00874001671413374,0.00020635001030759817
GB,United Kingdom,jazz,instrumental,no_lyrics,en,jazz instrumental UK,25,250559583,2318456.0,1974945,54299,0.012127069955088957,0.0003034709125538099
NL,Netherlands,edm,instrumental,no_lyrics,nl,Dutch electronic music,25,196222139,3158527.0,2514161,38462,0.017512556328265663,0.0007225928657307683
KR,South Korea,jazz,instrumental,no_lyrics,ko,Korean jazz instrumental,25,117206773,1640617.0,3001769,145204,0.17940661475711545,0.0013972846205571234
JP,Japan,jazz,instrumental,no_lyrics,ja,Japanese jazz instrumental,25,116955253,1193154.0,1632506,34924,0.02180882627686346,0.0006279324033190569
BR,Brazil,bossa nova,instrumental,no_lyrics,pt,Bossa nova instrumental,25,108977800,2499589.0,708589,9905,0.010607543750521715,0.00011181956543759911
CA,Canada,lofi,instrumental,no_lyrics,en,lofi study music Canada,25,93171276,290197.0,984029,43190,0.018592618324671916,0.009185077289415745
JP,Japan,lofi,instrumental,no_lyrics,ja,Japanese lofi study music,25,81161060,955529.0,1089472,23558,0.013550085203829007,0.0002657166720371697
VN,Vietnam,lofi,instrumental,no_lyrics,vi,Vietnamese lofi music,25,69489770,2308767.0,294291,11826,0.00955155194595682,0.0008543838366345123
DE,Germany,jazz,instrumental,no_lyrics,de,German jazz instrumental,25,66716452,280481.0,632066,13050,0.01508539917918988,0.0004537327831649178
KR,South Korea,lofi,instrumental,no_lyrics,ko,Korean lofi music,25,53381480,739264.0,459349,9262,0.013035110302119837,0.0003973348010255768
BR,Brazil,jazz,instrumental,no_lyrics,pt,Brazilian jazz instrumental,25,53107881,594123.0,761041,8273,0.025371954855793053,0.0003868369513743311
GB,United Kingdom,pop,instrumental,no_lyrics,en,pop instrumental music UK,25,47117808,854742.0,267517,4892,0.005655059316092534,0.00010597782311144282
ES,Spain,jazz,instrumental,no_lyrics,es,Spanish jazz instrumental,25,40782269,980211.0,439132,9818,0.01510470866421932,0.00039461557426430003
US,United States,pop,instrumental,no_lyrics,en,pop instrumental music,25,36889303,602348.0,158849,4008,0.004150858201239855,0.00010638387954054325
DE,Germany,lofi,instrumental,no_lyrics,de,German lofi music,25,36853141,494.0,646330,19385,0.029304967107164296,0.008567565776851855
FR,France,lofi,instrumental,no_lyrics,fr,French lofi music,25,33459155,420622.0,546634,12901,0.01761299986796742,0.0007448471766267786
FR,France,jazz,instrumental,no_lyrics,fr,French jazz instrumental,25,31511603,287248.0,349527,6839,0.01622317498284304,0.0004289117408966743
TH,Thailand,lofi,instrumental,no_lyrics,th,Thai lofi music,25,28147906,11071.0,277830,6237,0.017196740487886716,0.0009517858992063876
IT,Italy,jazz,instrumental,no_lyrics,it,Italian jazz instrumental,25,27455942,656926.0,235148,5750,0.011730097053360991,0.0004623337705023955
AU,Australia,lofi,instrumental,no_lyrics,en,Australia lofi music,25,21465126,173175.0,242542,10956,0.025601690797736557,0.007713081182747921
MX,Mexico,jazz,instrumental,no_lyrics,es,Latin jazz instrumental,25,19736206,284003.0,253037,4972,0.014134442574071678,0.0003497357799729865
TW,Taiwan,lofi,instrumental,no_lyrics,zh,Taiwan lofi music,25,9781598,4487.0,155068,3471,0.02180673912230752,0.0019148059568348448
ID,Indonesia,lofi,instrumental,no_lyrics,id,Indonesian lofi music,25,6624590,11911.0,80604,3083,0.011331716946034107,0.0005497916557056092
